blur_1class model testing on...
testset,accuracy,avg precision
progan,0.879,0.9900821953690196
stylegan,0.6039893173092973,0.8937178470057425
biggan,0.5335,0.6777326608011949
cyclegan,0.6570779712339136,0.8488602249271587
stargan,0.7423711855927964,0.9716404992150687
gaugan,0.5485,0.7321058271322158
crn,0.856079598871827,0.9437832129486273
imle,0.8310090880601693,0.918422658228816
seeingdark,0.6305555555555555,0.9187388980504799
san,0.5114155251141552,0.5682211065934268
deepfake,0.5037927844588345,0.6948618277592719
stylegan2,0.6156109163745619,0.8727467873326289
whichfaceisreal,0.5145,0.6751570691257702
