blur_jpg_0.1_1class model testing on...
testset,accuracy,avg precision
progan,0.848625,0.987077332383179
stylegan,0.5405608412618929,0.8051647144301454
biggan,0.546,0.6968184852038641
cyclegan,0.682437547312642,0.8893030685032567
stargan,0.7108554277138569,0.8762956475812365
gaugan,0.556,0.8364431426450987
crn,0.766374177373864,0.9822766625728614
imle,0.7433406455656534,0.977649623407703
seeingdark,0.575,0.7859228342868033
san,0.5228310502283106,0.6177323580616638
deepfake,0.513413506012951,0.6772670675181374
stylegan2,0.5210315473209814,0.7381824488370061
whichfaceisreal,0.505,0.7249437354565054
