jpeg_1class model testing on...
testset,accuracy,avg precision
progan,0.8175,0.9810454486248618
stylegan,0.5363044566850276,0.798838426674118
biggan,0.5425,0.7454003547573235
cyclegan,0.5806207418622256,0.821285927372977
stargan,0.5477738869434717,0.7750122375313105
gaugan,0.5389,0.8612231284289554
crn,0.5735662801629583,0.9875796059209516
imle,0.5622062049514259,0.9878788817343374
seeingdark,0.6,0.764150420356347
san,0.4977168949771689,0.5383764040221053
deepfake,0.5285846438482886,0.6791221033619904
stylegan2,0.5087005508262393,0.6508763666016691
whichfaceisreal,0.5125,0.7151163024172104
