no_aug_1class model testing on...
testset,accuracy,avg precision
progan,0.950375,0.9963353789855565
stylegan,0.7053914204640294,0.9536072637672519
biggan,0.5875,0.7243253600606878
cyclegan,0.6937925813777441,0.8099999360549384
stargan,0.8231615807903953,0.9855824952463133
gaugan,0.5982,0.7501473913234471
crn,0.9738326543403322,0.9970182396752019
imle,0.827875274208712,0.9690621986683006
seeingdark,0.6833333333333333,0.9052079268228355
san,0.6095890410958904,0.7938996709922866
deepfake,0.5768732654949121,0.9596584557597259
stylegan2,0.6371432148222334,0.9172850197191567
whichfaceisreal,0.598,0.6885024387071823
