blur_jpg_0.5_3class model testing on...
testset,accuracy,avg precision
progan,0.928875,0.9956857816640751
stylegan,0.5476548155566683,0.8697977039251626
biggan,0.51725,0.7211204318454739
cyclegan,0.6866010598031794,0.9058420484173204
stargan,0.6625812906453227,0.8994392068463202
gaugan,0.622,0.9383659032090815
crn,0.6295832027577561,0.962702429891061
imle,0.7817298652460044,0.9894784472722287
seeingdark,0.7222222222222222,0.7927950188636508
san,0.5045662100456622,0.5903214755699693
deepfake,0.5191489361702127,0.6139591780071648
stylegan2,0.524849774661993,0.7877579329063775
whichfaceisreal,0.6195,0.8613755046561333
